Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2017,4,Santiago Del Estero,68842.0,2.0,68844.0
2017,4,Tierra Del Fuego,28346.0,508.0,28854.0
2017,4,Tucumán,162298.0,34.0,162332.0
2017,3,Buenos Aires,3046758.0,11.202,3057960.0
2017,3,Capital Federal,1563289.0,7.07,1570359.0
2017,3,Catamarca,33467.0,11.0,33478.0
2017,3,Chaco,93747.0,12.0,93759.0
2017,3,Chubut,81067.0,2.477,83544.0
2017,3,Córdoba,696536.0,108.0,696644.0
2017,3,Corrientes,92536.0,12.0,92548.0
2017,3,Entre Ríos,185414.0,50.0,185464.0
2017,3,Formosa,32105.0,0.0,32105.0
2017,3,Jujuy,43241.0,1.0,43242.0
2017,3,La Pampa,79280.0,410.0,79690.0
2017,3,La Rioja,51896.0,17.0,51913.0
2017,3,Mendoza,190958.0,1.533,192491.0
2017,3,Misiones,100476.0,0.0,100476.0
2017,3,Neuquén,113755.0,2.029,115784.0
2017,3,Río Negro,106393.0,1.103,107496.0
2017,3,Salta,132517.0,1.0,132518.0
2017,3,San Juan,61789.0,660.0,62449.0
2017,3,San Luis,21408.0,311.0,21719.0
2017,3,Santa Cruz,33222.0,468.0,33690.0
2017,3,Santa Fe,662086.0,256.0,662342.0
2017,3,Santiago Del Estero,82792.0,2.0,82794.0
2017,3,Tierra Del Fuego,30883.0,583.0,31466.0
2017,3,Tucumán,160979.0,33.0,161012.0
2017,2,Buenos Aires,3067430.0,11.201,3078631.0
2017,2,Capital Federal,1592175.0,8.016,1600191.0
2017,2,Catamarca,26692.0,13.0,26705.0
2017,2,Chaco,90597.0,14.0,90611.0
2017,2,Chubut,62245.0,1.73,63975.0
2017,2,Córdoba,657505.0,133.0,657638.0
2017,2,Corrientes,90085.0,12.0,90097.0
2017,2,Entre Ríos,182675.0,57.0,182732.0
2017,2,Formosa,29956.0,0.0,29956.0
2017,2,Jujuy,42656.0,1.0,42657.0
2017,2,La Pampa,72573.0,449.0,73022.0
2017,2,La Rioja,16271.0,18.0,16289.0
2017,2,Mendoza,169302.0,1.451,170753.0
2017,2,Misiones,99794.0,0.0,99794.0
2017,2,Neuquén,115321.0,2.112,117433.0
2017,2,Río Negro,100621.0,998.0,101619.0
2017,2,Salta,108540.0,1.0,108541.0
2017,2,San Juan,51261.0,620.0,51881.0
2017,2,San Luis,12992.0,315.0,13307.0
2017,2,Santa Cruz,26019.0,369.0,26388.0
2017,2,Santa Fe,566918.0,362.0,567280.0
2017,2,Santiago Del Estero,33194.0,2.0,33196.0
2017,2,Tierra Del Fuego,31938.0,619.0,32557.0
2017,2,Tucumán,154374.0,37.0,154411.0
2017,1,Buenos Aires,3178174.0,11.202,3189376.0
2017,1,Capital Federal,1391030.0,8.016,1399046.0
2017,1,Catamarca,26304.0,13.0,26317.0
2017,1,Chaco,89036.0,14.0,89050.0
2017,1,Chubut,62166.0,1.73,63896.0
2017,1,Córdoba,641066.0,133.0,641199.0
2017,1,Corrientes,88596.0,12.0,88608.0
2017,1,Entre Ríos,180296.0,57.0,180353.0
2017,1,Formosa,29705.0,0.0,29705.0
2017,1,Jujuy,43202.0,1.0,43203.0
2017,1,La Pampa,71458.0,455.0,71913.0
2017,1,La Rioja,16207.0,18.0,16225.0
